station_id,name,num_bicycles_available,last_reported
NBF:Station:78971440,Gerwigstraße,1,2026-05-24 23:53:23+02
NBF:Station:50819438,Moltkestraße - CAMPUSbike HSKA,2,2026-05-24 23:53:23+02
NBF:Station:280259,Werderplatz,3,2026-05-24 23:53:23+02
NBF:Station:289946,Durlach Schlossplatz,5,2026-05-24 23:53:23+02
NBF:Station:78972260,Servicescope,4,2026-05-24 23:53:23+02
NBF:Station:392504,L-Bank,1,2026-05-24 23:53:23+02
NBF:Station:55113155,Reinmuthstraße./ Sudetenstraße,1,2026-05-24 23:53:23+02
NBF:Station:37983402,Tennesseeallee - CAMPUSbike KIT,1,2026-05-24 23:53:23+02
NBF:Station:53001693,Knielinger Allee/Franz-Lust-Straße,2,2026-05-24 23:53:23+02
NBF:Station:462181,Daxlanden - Stadtwerke,2,2026-05-24 23:53:23+02
NBF:Station:289944,Rommelstr. / Auerstr.,4,2026-05-24 23:53:23+02
NBF:Station:54869634,Knielingen/Rheinbergstraße,2,2026-05-24 23:53:23+02
NBF:Station:6352777,Zeppelinstraße / Benzstraße,1,2026-05-24 23:53:23+02
NBF:Station:264394,Hauptbahnhof / Touristinformation,1,2026-05-24 23:53:23+02
NBF:Station:462165,Rüppurr – Tulpenstraße,6,2026-05-24 23:53:23+02
NBF:Station:280260,Nordweststadt - Kurt-Schumacher-Straße,1,2026-05-24 23:53:23+02
NBF:Station:281794,Agentur für Arbeit,1,2026-05-24 23:53:23+02
NBF:Station:280261,Knielingen / Herweghstraße,2,2026-05-24 23:53:23+02
NBF:Station:462174,Bulach - Grünwinkler Straße,5,2026-05-24 23:53:23+02
NBF:Station:280253,Karl-Wilhelm-Platz,1,2026-05-24 23:53:23+02
NBF:Station:1390,Karlstraße / Waldstraße,2,2026-05-24 23:53:23+02
NBF:Station:462159,Oberreut - Zentrum,6,2026-05-24 23:53:23+02
NBF:Station:300645,HaDiKo,7,2026-05-24 23:53:23+02
NBF:Station:367726,KIT Ost,5,2026-05-24 23:53:23+02
NBF:Station:280258,Karlstor,1,2026-05-24 23:53:23+02
NBF:Station:280249,Prinz-Max-Palais,1,2026-05-24 23:53:23+02
NBF:Station:54869634,Knielingen/Rheinbergstraße,2,2026-05-24 23:22:29+02
NBF:Station:289944,Rommelstr. / Auerstr.,2,2026-05-24 23:22:29+02
NBF:Station:462181,Daxlanden - Stadtwerke,2,2026-05-24 23:22:29+02
NBF:Station:53001693,Knielinger Allee/Franz-Lust-Straße,2,2026-05-24 23:22:29+02
