station_id,name,num_bicycles_available,last_reported
NBV:Station:30612064,Lindenhof - Meeräckerplatz,5,2026-05-24 23:52:06+02
NBV:Station:29964359,Am Plankenkopf,1,2026-05-24 23:52:06+02
NBV:Station:260511069,Waldhof -  Gartenstadt / Freilichtbühne,1,2026-05-24 23:52:06+02
NBV:Station:660943,Schwetzingerstadt - rnv Betriebshof Möhlstraße,4,2026-05-24 23:52:06+02
NBV:Station:33282690,Niederfeld - Diakonissen-Krankenhaus,4,2026-05-24 23:52:06+02
NBV:Station:30612162,Neuostheim – Dürerstraße,6,2026-05-24 23:52:06+02
NBV:Station:661021,LU Süd - Schützenplatz,10,2026-05-24 23:52:06+02
NBV:Station:339459,Nationaltheater,4,2026-05-24 23:52:06+02
NBV:Station:660983,Neckarstadt-West - Riedfeldstraße,4,2026-05-24 23:52:06+02
NBV:Station:30612203,Jungbusch - Beilstraße,3,2026-05-24 23:52:06+02
NBV:Station:30612264,B3 – Schillerplatz,1,2026-05-24 23:52:06+02
NBV:Station:339349,Neumarkt,11,2026-05-24 23:52:06+02
NBV:Station:344836,Berliner Platz,12,2026-05-24 23:52:06+02
NBV:Station:378596231,Seckenheim - S-Bahnhof  Seckenheim-Hochstätt,4,2026-05-24 23:52:06+02
NBV:Station:381679124,Jungbusch - Werftstraße,5,2026-05-24 23:52:06+02
NBV:Station:195402059,Oststadt - Augusta Anlage,3,2026-05-24 23:52:06+02
NBV:Station:31471648,Almenhof August-Bebel-Park,2,2026-05-24 23:52:06+02
NBV:Station:30612250,U3 – Herschelbad,10,2026-05-24 23:52:06+02
NBV:Station:660971,Neckarau - Hans-Sachs-Ring,35,2026-05-24 23:52:06+02
NBV:Station:11272269,Schwanthalerplatz,6,2026-05-24 23:52:06+02
NBV:Station:58196617,Lindenhof / NTR,2,2026-05-24 23:52:06+02
NBV:Station:11272337,Wredestraße,13,2026-05-24 23:52:06+02
NBV:Station:28450242,Lindenhof - Hanns-Glückstein-Park ,7,2026-05-24 23:52:06+02
NBV:Station:660999,Hemshof - BASF Süd,2,2026-05-24 23:52:06+02
NBV:Station:1557693,Lindenhof - Johanniskirche,10,2026-05-24 23:52:06+02
NBV:Station:339456,Gewerkschaftshaus,5,2026-05-24 23:52:06+02
