vehicle_id,feed_id,last_reported,geometry
DOG:Vehicle:0cd18168-247f-4c34-8012-917e13e06463,dott_mannheim,2026-05-21 15:17:54+02,POINT (8.464635 49.499885)
DOG:Vehicle:db2bb31b-5d2f-4729-97e0-5075d750d93c,dott_mannheim,2026-05-21 15:18:42+02,POINT (8.482458 49.513831)
DOG:Vehicle:bdf9ea1b-402c-44d1-8105-8dd5120d0f0f,dott_mannheim,2026-05-21 15:18:49+02,POINT (8.503591 49.498549)
DOG:Vehicle:d8d8f178-4e1b-4af3-858a-bb5a2996530f,dott_mannheim,2026-05-21 15:18:58+02,POINT (8.495311 49.464306)
DOG:Vehicle:370982a0-4f45-4a6b-be26-d729351913a7,dott_mannheim,2026-05-21 15:19:44+02,POINT (8.454066 49.478041)
DOG:Vehicle:549940ae-5702-4cba-b2a5-de662efea5e9,dott_mannheim,2026-05-21 15:19:46+02,POINT (8.436744 49.492419)
DOG:Vehicle:7fc10aec-2bb5-4173-8dd5-9abdf1ffaf6c,dott_mannheim,2026-05-21 15:19:53+02,POINT (8.469461 49.464144)
DOG:Vehicle:69aa760e-396c-4153-bd60-83a55a9b70a6,dott_mannheim,2026-05-21 15:20:15+02,POINT (8.491266 49.493262)
DOG:Vehicle:d67e11ad-55ab-447a-8186-ab4bbd2d6862,dott_mannheim,2026-05-21 15:20:23+02,POINT (8.488065 49.504572)
DOG:Vehicle:c4493313-51e7-4c3e-b381-70e18e87c8c6,dott_mannheim,2026-05-21 15:21:10+02,POINT (8.47045 49.480758)
DOG:Vehicle:470d2999-515c-42a1-98a5-f5f61f1e2a27,dott_mannheim,2026-05-21 15:21:16+02,POINT (8.509801 49.454172)
DOG:Vehicle:e7e74b42-5859-4133-8b50-1b276b607fb9,dott_mannheim,2026-05-21 15:21:19+02,POINT (8.446972 49.481516)
DOG:Vehicle:50027a1d-21be-460a-8113-0a686008ce78,dott_mannheim,2026-05-21 15:21:37+02,POINT (8.478433 49.482866)
DOG:Vehicle:de9db5fe-2c55-4d5a-b7a2-cdb6ac9fafcd,dott_mannheim,2026-05-21 15:21:39+02,POINT (8.557371 49.46229)
DOG:Vehicle:802a72f1-0f19-4471-a6dc-5e857190d509,dott_mannheim,2026-05-21 15:21:48+02,POINT (8.459563 49.486974)
DOG:Vehicle:39937ada-b66d-4ee9-a9e3-0ce7314b2c1a,dott_mannheim,2026-05-21 15:22:20+02,POINT (8.555438 49.467028)
DOG:Vehicle:c3b53de4-2940-4863-8f00-5d00fde54853,dott_mannheim,2026-05-21 15:22:20+02,POINT (8.446257 49.478695)
DOG:Vehicle:033598bc-4392-4453-b0c7-3435413b69f9,dott_mannheim,2026-05-21 15:22:35+02,POINT (8.509604 49.478638)
DOG:Vehicle:e555f412-9f19-4c61-b08a-aaa91f047d30,dott_mannheim,2026-05-21 15:22:43+02,POINT (8.483084 49.460943)
DOG:Vehicle:2d802c50-bdac-40bd-928d-6bdf7a850d3c,dott_mannheim,2026-05-21 15:23:28+02,POINT (8.457751 49.49812)
DOG:Vehicle:3aa957d9-1770-4c2b-9be1-7b8415740fd1,dott_mannheim,2026-05-21 15:23:51+02,POINT (8.463053 49.482952)
DOG:Vehicle:0a14dc97-cf92-4c70-8ece-8668739910ec,dott_mannheim,2026-05-21 15:24:05+02,POINT (8.489948 49.494097)
DOG:Vehicle:6e0c1cab-5835-4f8e-833c-a440d9961a38,dott_mannheim,2026-05-21 15:24:12+02,POINT (8.45429 49.478134)
DOG:Vehicle:dd3e7346-e684-4f35-8b86-400e16ef042b,dott_mannheim,2026-05-21 15:24:29+02,POINT (8.460632 49.499935)
DOG:Vehicle:19539d84-057e-4954-8a2b-8542be910304,dott_mannheim,2026-05-21 15:24:34+02,POINT (8.503836 49.497867)
DOG:Vehicle:6f2d5e5e-2444-4014-be65-2e87320e5ac1,dott_mannheim,2026-05-21 15:24:37+02,POINT (8.463676 49.481161)
