vehicle_id,feed_id,last_reported,geometry
LMG:Vehicle:2T4CRNYMLLP63,lime_bw,2026-05-21 15:38:15+02,POINT (9.156195 48.764285)
LMG:Vehicle:37ZSUYTHPYGU2,lime_bw,2026-05-21 15:38:15+02,POINT (9.217501 48.786421)
LMG:Vehicle:3E6YHQF5YF7FP,lime_bw,2026-05-21 15:38:15+02,POINT (9.217945 48.781571)
LMG:Vehicle:3GYLQ7FS7HCWK,lime_bw,2026-05-21 15:38:15+02,POINT (9.174943 48.809557)
LMG:Vehicle:3JEJ5FPAYDSPZ,lime_bw,2026-05-21 15:38:15+02,POINT (9.18087 48.801487)
LMG:Vehicle:3LR6A7EKILJRH,lime_bw,2026-05-21 15:38:15+02,POINT (9.174529 48.772157)
LMG:Vehicle:3MJ74BDK5G4O5,lime_bw,2026-05-21 15:38:15+02,POINT (9.162967 48.721255)
LMG:Vehicle:3NGDMR62ZKAHB,lime_bw,2026-05-21 15:38:15+02,POINT (9.15519 48.770004)
LMG:Vehicle:3P4AZ5NP4WWVZ,lime_bw,2026-05-21 15:38:15+02,POINT (9.192115 48.767354)
LMG:Vehicle:3VWOSBWSXOBY6,lime_bw,2026-05-21 15:38:15+02,POINT (9.152352 48.780684)
LMG:Vehicle:44C3C5T7ONLSI,lime_bw,2026-05-21 15:38:15+02,POINT (9.175395 48.782791)
LMG:Vehicle:44ZJNMIZSRN2O,lime_bw,2026-05-21 15:38:15+02,POINT (9.2486 48.780463)
LMG:Vehicle:45L5VF3XGPWYM,lime_bw,2026-05-21 15:38:15+02,POINT (9.174776 48.775847)
LMG:Vehicle:45SJY7SQQG7TE,lime_bw,2026-05-21 15:38:15+02,POINT (9.209794 48.795495)
LMG:Vehicle:46MPUBHBAJASN,lime_bw,2026-05-21 15:38:15+02,POINT (9.217216 48.804077)
LMG:Vehicle:4EVX6CLRBQD5L,lime_bw,2026-05-21 15:38:15+02,POINT (9.213706 48.791853)
LMG:Vehicle:4I3SVANOKFY2U,lime_bw,2026-05-21 15:38:15+02,POINT (9.167907 48.760409)
LMG:Vehicle:4IHZSTUYV53G3,lime_bw,2026-05-21 15:38:15+02,POINT (9.168198 48.767672)
LMG:Vehicle:4L5BK3RBMQKFA,lime_bw,2026-05-21 15:38:15+02,POINT (9.208567 48.778733)
LMG:Vehicle:4LGLHPBHNQT3C,lime_bw,2026-05-21 15:38:15+02,POINT (9.108671 48.810849)
LMG:Vehicle:4NXG47SVRSRXS,lime_bw,2026-05-21 15:38:15+02,POINT (9.187251 48.791758)
LMG:Vehicle:4UUUROJFPNIOP,lime_bw,2026-05-21 15:38:15+02,POINT (9.235631 48.788503)
LMG:Vehicle:56FDZZ45TGO3P,lime_bw,2026-05-21 15:38:15+02,POINT (9.151093 48.7688)
LMG:Vehicle:5FKD5M52BMBWY,lime_bw,2026-05-21 15:38:15+02,POINT (9.257269 48.771486)
LMG:Vehicle:5JURJVAXKPER4,lime_bw,2026-05-21 15:38:15+02,POINT (9.163177 48.814138)
LMG:Vehicle:5NRW2BEN4Z2UJ,lime_bw,2026-05-21 15:38:15+02,POINT (9.1642 48.81198)
LMG:Vehicle:5OJBY36S5MHES,lime_bw,2026-05-21 15:38:15+02,POINT (9.16941 48.795462)
LMG:Vehicle:5QBXEGEZ4NUVQ,lime_bw,2026-05-21 15:38:15+02,POINT (9.200768 48.810506)
LMG:Vehicle:5VN7BXP4C5L2Z,lime_bw,2026-05-21 15:38:15+02,POINT (9.163462 48.810241)
LMG:Vehicle:5YMOUOOQLED7D,lime_bw,2026-05-21 15:38:15+02,POINT (9.162247 48.777157)
LMG:Vehicle:66GAQN6ZRHVTE,lime_bw,2026-05-21 15:38:15+02,POINT (9.160046 48.764741)
LMG:Vehicle:6JXBJN72AOXGE,lime_bw,2026-05-21 15:38:15+02,POINT (9.251496 48.779946)
LMG:Vehicle:6KJNN4V5WQMPA,lime_bw,2026-05-21 15:38:15+02,POINT (9.214004 48.791762)
LMG:Vehicle:6M273D5C52SAO,lime_bw,2026-05-21 15:38:15+02,POINT (9.21693 48.804301)
LMG:Vehicle:6YBSXMIDQNN22,lime_bw,2026-05-21 15:38:15+02,POINT (9.146068 48.768349)
LMG:Vehicle:74I7RNZCCZLEE,lime_bw,2026-05-21 15:38:15+02,POINT (9.217304 48.803189)
LMG:Vehicle:7GVO455ZUE42D,lime_bw,2026-05-21 15:38:15+02,POINT (9.207709 48.81305)
LMG:Vehicle:7IXKE6MN5B2XK,lime_bw,2026-05-21 15:38:15+02,POINT (9.155699 48.77207)
LMG:Vehicle:7J77CWXXZQOGQ,lime_bw,2026-05-21 15:38:15+02,POINT (9.168593 48.777683)
LMG:Vehicle:7SN4JQYLJQSLP,lime_bw,2026-05-21 15:38:15+02,POINT (9.230889 48.795671)
LMG:Vehicle:A4ARLFXWREVUE,lime_bw,2026-05-21 15:38:15+02,POINT (9.16473 48.776305)
LMG:Vehicle:A6OXHR2Q6JG6C,lime_bw,2026-05-21 15:38:15+02,POINT (9.173642 48.77594)
LMG:Vehicle:AD652ENQZQD2B,lime_bw,2026-05-21 15:38:15+02,POINT (9.177666 48.81409)
LMG:Vehicle:AHKBKCRTRBWK2,lime_bw,2026-05-21 15:38:15+02,POINT (9.10604 48.744472)
LMG:Vehicle:AKFWES3ZZOZ4F,lime_bw,2026-05-21 15:38:15+02,POINT (9.230875 48.795674)
LMG:Vehicle:AMW7Y6WGUROHC,lime_bw,2026-05-21 15:38:15+02,POINT (9.248608 48.780407)
LMG:Vehicle:AN5BMDAOSG3X2,lime_bw,2026-05-21 15:38:15+02,POINT (9.126053 48.741419)
LMG:Vehicle:AO4OLFDDIR7ZW,lime_bw,2026-05-21 15:38:15+02,POINT (9.188453 48.804006)
LMG:Vehicle:B2QGRPGSDMG63,lime_bw,2026-05-21 15:38:15+02,POINT (9.120967 48.736801)
LMG:Vehicle:B6QNDLCKDTOV2,lime_bw,2026-05-21 15:38:15+02,POINT (9.18141 48.773385)
LMG:Vehicle:BE6RZZWMPUHGS,lime_bw,2026-05-21 15:38:15+02,POINT (9.173343 48.782758)
LMG:Vehicle:BHKHQQ5WJB3CD,lime_bw,2026-05-21 15:38:15+02,POINT (9.190897 48.80883)
LMG:Vehicle:BQLCT3EU2APQJ,lime_bw,2026-05-21 15:38:15+02,POINT (9.213142 48.810375)
LMG:Vehicle:BQNWFVO3LAV3F,lime_bw,2026-05-21 15:38:15+02,POINT (9.131964 48.77478)
LMG:Vehicle:BRL2FXFXE4JAE,lime_bw,2026-05-21 15:38:15+02,POINT (9.181868 48.782698)
LMG:Vehicle:BZ4A7O6VLNUUS,lime_bw,2026-05-21 15:38:15+02,POINT (9.174306 48.776293)
LMG:Vehicle:C73GSJL5T3UV7,lime_bw,2026-05-21 15:38:15+02,POINT (9.175565 48.763695)
LMG:Vehicle:CBYI232G2Y4XF,lime_bw,2026-05-21 15:38:15+02,POINT (9.151674 48.806496)
LMG:Vehicle:CD3K5523PSOQF,lime_bw,2026-05-21 15:38:15+02,POINT (9.159814 48.765315)
LMG:Vehicle:CDSBQQ5FLLX4X,lime_bw,2026-05-21 15:38:15+02,POINT (9.179643 48.809372)
LMG:Vehicle:CDUBTMOACHMM6,lime_bw,2026-05-21 15:38:15+02,POINT (9.179762 48.794251)
LMG:Vehicle:CEEYD25XVJDKX,lime_bw,2026-05-21 15:38:15+02,POINT (9.156295 48.815791)
LMG:Vehicle:CKCMAZPT3UUGO,lime_bw,2026-05-21 15:38:15+02,POINT (9.185056 48.778015)
LMG:Vehicle:CMEXIURPGVOSN,lime_bw,2026-05-21 15:38:15+02,POINT (9.223259 48.806684)
LMG:Vehicle:CRW3PWTQGTU5Q,lime_bw,2026-05-21 15:38:15+02,POINT (9.135772 48.812621)
LMG:Vehicle:CVLJFIBBMANQQ,lime_bw,2026-05-21 15:38:15+02,POINT (9.167718 48.764232)
LMG:Vehicle:CX4TUD2M2E6DE,lime_bw,2026-05-21 15:38:15+02,POINT (9.194865 48.80193)
LMG:Vehicle:D2NOIAXG5CFRC,lime_bw,2026-05-21 15:38:15+02,POINT (9.105072 48.746595)
LMG:Vehicle:D4NMGPQLWP76A,lime_bw,2026-05-21 15:38:15+02,POINT (9.151686 48.768293)
LMG:Vehicle:DDVSIDDOWHAPA,lime_bw,2026-05-21 15:38:15+02,POINT (9.174163 48.785132)
LMG:Vehicle:DIUX3CKX3N75V,lime_bw,2026-05-21 15:38:15+02,POINT (9.177176 48.810969)
LMG:Vehicle:DQKGZVWGWKD5W,lime_bw,2026-05-21 15:38:15+02,POINT (9.223984 48.791428)
LMG:Vehicle:DT3JEURDPV2V6,lime_bw,2026-05-21 15:38:15+02,POINT (9.157311 48.772754)
LMG:Vehicle:DVYGZ4QPVVHLI,lime_bw,2026-05-21 15:38:15+02,POINT (9.211793 48.789044)
LMG:Vehicle:DW2GUOKSVZW5X,lime_bw,2026-05-21 15:38:15+02,POINT (9.206856 48.782003)
LMG:Vehicle:DXC3DSLFIQBYE,lime_bw,2026-05-21 15:38:15+02,POINT (9.20505 48.813868)
LMG:Vehicle:ECGAQ2MDIIULK,lime_bw,2026-05-21 15:38:15+02,POINT (9.155789 48.81279)
LMG:Vehicle:ENB4TDNHLQXPO,lime_bw,2026-05-21 15:38:15+02,POINT (9.155612 48.764058)
LMG:Vehicle:EOSTHNFDCZHVP,lime_bw,2026-05-21 15:38:15+02,POINT (9.167882 48.778384)
LMG:Vehicle:EP4IK7RMJ5LOL,lime_bw,2026-05-21 15:38:15+02,POINT (9.180378 48.783078)
LMG:Vehicle:ERMAGF3HF6CZ2,lime_bw,2026-05-21 15:38:15+02,POINT (9.168799 48.813247)
LMG:Vehicle:EVVG5IMDNM573,lime_bw,2026-05-21 15:38:15+02,POINT (9.16725 48.763946)
LMG:Vehicle:F46RGI7YFSFVA,lime_bw,2026-05-21 15:38:15+02,POINT (9.167714 48.804457)
LMG:Vehicle:F4UMQTA6NLG3L,lime_bw,2026-05-21 15:38:15+02,POINT (9.169891 48.817151)
LMG:Vehicle:F5BUO3ZYLF5MY,lime_bw,2026-05-21 15:38:15+02,POINT (9.180656 48.76946)
LMG:Vehicle:FDX372RWZ6RW5,lime_bw,2026-05-21 15:38:15+02,POINT (9.171996 48.773979)
LMG:Vehicle:FGXTEVFHTDX6U,lime_bw,2026-05-21 15:38:15+02,POINT (9.203279 48.779406)
LMG:Vehicle:FK2EBB7PW35PQ,lime_bw,2026-05-21 15:38:15+02,POINT (9.185559 48.774354)
LMG:Vehicle:FMY6XXBVYHVZA,lime_bw,2026-05-21 15:38:15+02,POINT (9.166415 48.777692)
LMG:Vehicle:FPTPHY6ARWDBN,lime_bw,2026-05-21 15:38:15+02,POINT (9.166072 48.780463)
LMG:Vehicle:FQ7P4ETLFCF3H,lime_bw,2026-05-21 15:38:15+02,POINT (9.157874 48.770574)
LMG:Vehicle:FROPEPGJ36LGP,lime_bw,2026-05-21 15:38:15+02,POINT (9.148409 48.769151)
LMG:Vehicle:FXFS7IKS766FB,lime_bw,2026-05-21 15:38:15+02,POINT (9.132753 48.741463)
LMG:Vehicle:FXRZFOBIB5NYC,lime_bw,2026-05-21 15:38:15+02,POINT (9.158873 48.811704)
LMG:Vehicle:FXXKDVUB2DVLR,lime_bw,2026-05-21 15:38:15+02,POINT (9.178869 48.794198)
LMG:Vehicle:FY6FPQ7UK556V,lime_bw,2026-05-21 15:38:15+02,POINT (9.175635 48.781939)
LMG:Vehicle:G2SGCZEGWJYR6,lime_bw,2026-05-21 15:38:15+02,POINT (9.225329 48.796069)
LMG:Vehicle:G3STMUQ77DQWH,lime_bw,2026-05-21 15:38:15+02,POINT (9.152137 48.760769)
DOJ:Vehicle:fdea4923-0587-414e-9172-d57cb3d5c734,dott_stuttgart,2026-05-21 15:24:21+02,POINT (9.198806 48.809152)
LMG:Vehicle:2B5RK6SPM4XWN,lime_bw,2026-05-21 15:38:15+02,POINT (9.170369 48.789743)
LMG:Vehicle:2E7KIHSWOYHZD,lime_bw,2026-05-21 15:38:15+02,POINT (9.186267 48.780107)
LMG:Vehicle:2HDJYGQRTG2RH,lime_bw,2026-05-21 15:38:15+02,POINT (9.183741 48.790529)
LMG:Vehicle:2JCXRPZWOJFFO,lime_bw,2026-05-21 15:38:15+02,POINT (9.167181 48.766568)
LMG:Vehicle:2ME4PQZWEY5CK,lime_bw,2026-05-21 15:38:15+02,POINT (9.177137 48.810794)
LMG:Vehicle:2MQ6ST6DQDERB,lime_bw,2026-05-21 15:38:15+02,POINT (9.180919 48.771953)
LMG:Vehicle:2PVKAN7745PLD,lime_bw,2026-05-21 15:38:15+02,POINT (9.171227 48.768434)
DOJ:Vehicle:28745fc0-c699-4f65-8852-cc467ded5d1b,dott_stuttgart,2026-05-21 15:16:30+02,POINT (9.154157 48.758828)
DOJ:Vehicle:4815c0d5-d9eb-4718-b1ed-b3bac1b3cbf5,dott_stuttgart,2026-05-21 15:16:59+02,POINT (9.175018 48.790945)
DOJ:Vehicle:bb50cb8f-ddd5-44ad-8dfc-aaffbfbbddab,dott_stuttgart,2026-05-21 15:17:29+02,POINT (9.189963 48.784786)
DOJ:Vehicle:b324cd86-49d8-4a64-a96a-c3bbfd3b843e,dott_stuttgart,2026-05-21 15:18:41+02,POINT (9.238735 48.789597)
DOJ:Vehicle:1ec49e7a-bea5-443c-9131-104826cedf4e,dott_stuttgart,2026-05-21 15:18:53+02,POINT (9.177297 48.778928)
DOJ:Vehicle:707bf1e2-5569-47ae-b901-035f457e2099,dott_stuttgart,2026-05-21 15:18:55+02,POINT (9.169032 48.784031)
DOJ:Vehicle:e325b6ff-00ed-4152-b194-08e3f1c3e26f,dott_stuttgart,2026-05-21 15:19:09+02,POINT (9.125648 48.740025)
DOJ:Vehicle:03e17c7a-7488-4034-95a3-d5572c41e381,dott_stuttgart,2026-05-21 15:19:22+02,POINT (9.157558 48.786221)
DOJ:Vehicle:d5521797-898d-4d00-9434-e8a8f2ef8499,dott_stuttgart,2026-05-21 15:19:32+02,POINT (9.160929 48.759042)
DOJ:Vehicle:cc09b3d9-bab5-46e1-a916-3e4cb73491b8,dott_stuttgart,2026-05-21 15:19:46+02,POINT (9.172947 48.776062)
DOJ:Vehicle:0633c840-65ea-447f-9f7a-b490e63cf04b,dott_stuttgart,2026-05-21 15:19:57+02,POINT (9.150578 48.768035)
DOJ:Vehicle:ed3a66e0-2c6f-4a31-812e-99003f3b6422,dott_stuttgart,2026-05-21 15:20:01+02,POINT (9.194472 48.783545)
DOJ:Vehicle:f2f2f1ae-581d-4b86-9037-8ca526268d6b,dott_stuttgart,2026-05-21 15:20:19+02,POINT (9.129736 48.743762)
DOJ:Vehicle:f8208b58-0ccf-4896-b437-9499e77977df,dott_stuttgart,2026-05-21 15:20:26+02,POINT (9.235612 48.788829)
DOJ:Vehicle:1c20181b-9535-4104-a499-c44922fc70cc,dott_stuttgart,2026-05-21 15:20:45+02,POINT (9.174105 48.777512)
DOJ:Vehicle:d7979f58-286f-40ab-a625-c1239de0ada0,dott_stuttgart,2026-05-21 15:20:47+02,POINT (9.147099 48.771812)
DOJ:Vehicle:f3aa5e17-205a-4f44-8a6b-10951f468cde,dott_stuttgart,2026-05-21 15:21:03+02,POINT (9.18947 48.764606)
DOJ:Vehicle:bd8411f7-a05e-4376-b1ad-7fb7cef98e12,dott_stuttgart,2026-05-21 15:21:04+02,POINT (9.23564 48.788417)
DOJ:Vehicle:5ca42d07-72f5-4a6d-bfe7-b13d1a9d104a,dott_stuttgart,2026-05-21 15:21:15+02,POINT (9.191576 48.794624)
DOJ:Vehicle:1205655e-a3f6-4bd8-85d8-22c3d0a9c242,dott_stuttgart,2026-05-21 15:21:31+02,POINT (9.167444 48.762582)
DOJ:Vehicle:c242a5ad-2c95-489c-aa2c-f835656a6406,dott_stuttgart,2026-05-21 15:21:38+02,POINT (9.148211 48.770227)
DOJ:Vehicle:e5b59e69-66d0-49d4-a0aa-a316717a622c,dott_stuttgart,2026-05-21 15:21:44+02,POINT (9.192297 48.795954)
DOJ:Vehicle:74753ed8-9659-47f7-a5fb-3449befa5cb2,dott_stuttgart,2026-05-21 15:21:59+02,POINT (9.153367 48.76422)
DOJ:Vehicle:3d74e913-b5e8-46b0-bb4d-36c8ca1beac4,dott_stuttgart,2026-05-21 15:22:02+02,POINT (9.174841 48.773104)
DOJ:Vehicle:f3e4faf3-d3d5-4546-b943-4a7baebde36c,dott_stuttgart,2026-05-21 15:22:07+02,POINT (9.174185 48.764115)
DOJ:Vehicle:9f5814bd-5efb-448a-8158-24662d6d0306,dott_stuttgart,2026-05-21 15:22:14+02,POINT (9.156826 48.785953)
