station_id,name,lat,lon
NBF:Station:458,Erbprinzenstr.,49.007499,8.401762
NBF:Station:1390,Karlstraße / Waldstraße,49.008679,8.395069
NBF:Station:264394,Hauptbahnhof / Touristinformation,48.994617,8.400361
NBF:Station:280249,Prinz-Max-Palais,49.010834,8.395102
NBF:Station:280250,Kolpingplatz,48.997704,8.393548
NBF:Station:280251,Mühlburger Tor / Kaiserplatz ,49.010063,8.388213
NBF:Station:280253,Karl-Wilhelm-Platz,49.011246,8.423453
NBF:Station:280255,Kreativpark/Alter Schlachthof,49.006073,8.431732
NBF:Station:280258,Karlstor,49.005444,8.394901
NBF:Station:280259,Werderplatz,49.001464,8.405775
NBF:Station:280260,Nordweststadt - Kurt-Schumacher-Straße,49.030205,8.375981
NBF:Station:280261,Knielingen / Herweghstraße,49.030727,8.341402
NBF:Station:280263,Fächerbad,49.025825,8.444946
NBF:Station:280322,KIT Süd,49.011085,8.417748
NBF:Station:281794,Agentur für Arbeit,49.003319,8.386003
NBF:Station:285510,Adenauerring / Fasanengarten,49.015317,8.420012
NBF:Station:289942,Durlach - Bahnhof ,49.001548,8.463035
NBF:Station:289944,Rommelstr. / Auerstr.,48.995945,8.463206
NBF:Station:289946,Durlach Schlossplatz,48.998944,8.473495
NBF:Station:297942,Neuer Zirkel / Englerstr.,49.011598,8.409262
NBF:Station:300645,HaDiKo,49.019967,8.42145
NBF:Station:367726,KIT Ost,49.021069,8.43117
NBF:Station:392504,L-Bank,49.010687,8.405018
NBF:Station:462159,Oberreut - Zentrum,48.985681,8.362634
NBF:Station:462165,Rüppurr – Tulpenstraße,48.971175,8.40467
NBF:Station:462174,Bulach - Grünwinkler Straße,48.988131,8.379993
NBF:Station:462176,Grünwinkel - Carl-Metz-Straße,49.009628,8.354738
NBF:Station:462181,Daxlanden - Stadtwerke,49.007101,8.34356
NBF:Station:6352777,Zeppelinstraße / Benzstraße,49.002291,8.36419
NBF:Station:6352822,Carl-Metz-Straße,49.012277,8.350328
NBF:Station:9016659,Mühlburg Bahnhof,49.014929,8.352434
NBF:Station:28894975,Landratsamt Wolfartweierstr.,49.005355,8.425673
NBF:Station:37983357,Adenauerring,49.010664,8.417718
NBF:Station:37983402,Tennesseeallee - CAMPUSbike KIT,49.021087,8.389151
NBF:Station:50819425,Knielinger Allee - CAMPUSbike HSKA,49.01658,8.391007
NBF:Station:50819438,Moltkestraße - CAMPUSbike HSKA,49.014832,8.390626
NBF:Station:52355370,Parkplatz Kühler Krug,49.005747,8.367536
NBF:Station:52997350,Schloss Rüppurr,48.980858,8.403352
NBF:Station:52999116,Weinbrennerplatz,49.005416,8.377506
NBF:Station:53001693,Knielinger Allee/Franz-Lust-Straße,49.018978,8.375049
NBF:Station:53171791,Südendstraße./ Brauerstr.,48.998374,8.384746
NBF:Station:54869634,Knielingen/Rheinbergstraße,49.035362,8.335844
NBF:Station:55113155,Reinmuthstraße./ Sudetenstraße,49.031022,8.344573
NBF:Station:78970799,Durlach - Alte Karlsruher Straße,49.002762,8.461833
NBF:Station:78971162,Sophienstraße,49.008171,8.37568
NBF:Station:78971440,Gerwigstraße,49.00954,8.423853
NBF:Station:78972260,Servicescope,48.996852,8.435336
