station_id,name,lat,lon
NBV:Station:121376,Lindenhof - Jugendherberge,49.477082,8.463662
NBV:Station:339343,Neckarstadt - Alter Messplatz,49.49707,8.473044
NBV:Station:339346,Neckarstadt-Ost - Lange Rötterstraße,49.497263,8.483832
NBV:Station:339349,Neumarkt,49.498946,8.467224
NBV:Station:339350,Studentensiedlung Ludwig Frank,49.506903,8.492206
NBV:Station:339352,Jungbusch - Popakademie,49.497225,8.457751
NBV:Station:339354,K1 - Kurpfalzbrücke,49.493002,8.470325
NBV:Station:339456,Gewerkschaftshaus,49.490685,8.475705
NBV:Station:339457,Theresienkrankenhaus,49.489559,8.480297
NBV:Station:339459,Nationaltheater,49.487939,8.478742
NBV:Station:339461,Kongresszentrum Rosengarten,49.485357,8.47665
NBV:Station:339462,R1 - Marktplatz,49.489761,8.468437
NBV:Station:339463,E1 - Paradeplatz,49.487956,8.466007
NBV:Station:339464,E4 - Rathaus,49.489012,8.462997
NBV:Station:339465,Kunsthalle,49.483245,8.474793
NBV:Station:339466,G7 - Westliche Unterstadt,49.491183,8.462391
NBV:Station:339468,Universität Mensa,49.484576,8.459859
NBV:Station:339472,A5 - Universität West,49.48711,8.456876
NBV:Station:339473,L1 - Schloss,49.484705,8.463544
NBV:Station:339475,Hauptbahnhof Mannheim,49.47996,8.469749
NBV:Station:339476,Jungbusch - Jungbuschstraße,49.493448,8.458968
NBV:Station:339478,Technische Hochschule Mannheim,49.470261,8.482255
NBV:Station:339481,Oststadt - Luisenpark,49.479502,8.495221
NBV:Station:339485,Schwetzingerstadt - Pestalozzischule,49.478512,8.482561
NBV:Station:339487,N5 - Kapuzinerplanken ,49.485371,8.469493
NBV:Station:660939,Neckarau - Markuskirche,49.464913,8.475941
NBV:Station:660943,Schwetzingerstadt - rnv Betriebshof Möhlstraße,49.474329,8.486944
NBV:Station:660945,Schwetzingerstadt - Dynamostraße,49.474531,8.489524
NBV:Station:660951,Universität Schloss,49.48275,8.463303
NBV:Station:660971,Neckarau - Hans-Sachs-Ring,49.456695,8.481027
NBV:Station:660974,MVV Hochhaus,49.494114,8.4676
NBV:Station:660978,Neckarstadt-Ost  - Carl-Zuckmayer-Straße,49.508376,8.476054
NBV:Station:660983,Neckarstadt-West - Riedfeldstraße,49.502211,8.465255
NBV:Station:1557693,Lindenhof - Johanniskirche,49.47365,8.46642
NBV:Station:4726808,DHBW Mannheim - Campus Coblitzallee,49.473472,8.53399
NBV:Station:4726822,DHBW Mannheim - Campus Käfertalerstr.,49.500855,8.499588
NBV:Station:4915747,P7 - Fressgasse,49.485698,8.473613
NBV:Station:5582461,Oststadt Karl-Ludwig-Straße,49.481997,8.483387
NBV:Station:7853258,Universitätsklinik Mannheim,49.492344,8.482906
NBV:Station:9214247,Mannheimer Straße,49.508189,8.512414
NBV:Station:24559076,Herzogenried - Sandgewann,49.509912,8.483559
NBV:Station:24559100,Neuhermsheim - Dragonerweg,49.467531,8.503804
NBV:Station:27230822,N2 – Stadthaus,49.485956,8.466076
NBV:Station:27230871,Neckarstadt-Ost - Herzogenriedpark,49.503921,8.477009
NBV:Station:27230961,Carl-Benz-Stadion,49.478118,8.501873
NBV:Station:27231009,Neckarau - Friedrichstraße,49.452873,8.495253
NBV:Station:28450242,Lindenhof - Hanns-Glückstein-Park ,49.473974,8.472009
NBV:Station:28450544,Schwetzingerstadt - Krappmühlstraße,49.475967,8.483157
NBV:Station:28450596,Schwetzingerstadt - Keplerstraße,49.479913,8.475652
NBV:Station:28450647,Schwetzingerstadt - Richard-Wagner-Straße,49.481645,8.478822
NBV:Station:28450681,Neckarstadt-Ost  - Clignetplatz,49.496424,8.47725
NBV:Station:28455055,Oststadt - Beethovenstraße,49.483335,8.480367
NBV:Station:29111804,S-Bahnhof Arena/Maimarkt,49.459886,8.516775
NBV:Station:29794323,Turleyplatz,49.501925,8.491123
NBV:Station:29964359,Am Plankenkopf,49.484387,8.473963
NBV:Station:30612064,Lindenhof - Meeräckerplatz,49.468919,8.470824
NBV:Station:30612140,Neuostheim - Endstelle,49.47764,8.522075
NBV:Station:30612162,Neuostheim – Dürerstraße,49.478184,8.506728
NBV:Station:30612203,Jungbusch - Beilstraße,49.4945,8.459644
NBV:Station:30612225,Wohlgelegen - Ludolf-Krehl-Straße,49.497065,8.492131
NBV:Station:30612231,Neckarstadt-West – Gartenfeldstraße,49.500678,8.470904
NBV:Station:30612240,Neckarstadt-West – Marchivum,49.499357,8.461822
NBV:Station:30612250,U3 – Herschelbad,49.4908,8.471387
NBV:Station:30612264,B3 – Schillerplatz,49.485946,8.46215
NBV:Station:31471276,R5,49.487604,8.471435
NBV:Station:31471648,Almenhof August-Bebel-Park,49.459715,8.487411
NBV:Station:33282192,G1 – Marktplatz,49.489671,8.466929
NBV:Station:33282236,Eastsite,49.476138,8.505714
NBV:Station:33282690,Niederfeld - Diakonissen-Krankenhaus,49.46461,8.471902
NBV:Station:33776080,Gerd-Dehof-Platz,49.4658,8.508968
NBV:Station:34525897,Roche - Tor 1,49.529564,8.468378
NBV:Station:38930075,Franklin - Bensheimer Straße,49.514029,8.527681
NBV:Station:38930122,Käfertal Mitte,49.512469,8.517848
NBV:Station:38930150,Franklin -  George-Washington-Straße,49.518742,8.531093
NBV:Station:57585097,S-Bahnhof Waldhof,49.525003,8.481472
NBV:Station:57585616,Roche - Oppauer Straße,49.528227,8.476462
NBV:Station:57585948,Roche - Tor 4,49.531124,8.480346
NBV:Station:58196168,HBf / Tattersallstraße,49.479693,8.471489
NBV:Station:58196617,Lindenhof / NTR,49.476208,8.470888
NBV:Station:95252421,Zeltfestival Rhein-Neckar,49.465809,8.526249
NBV:Station:146888468,Feudenheim- Schelmenbuckel/Talstraße,49.495086,8.524709
NBV:Station:146888651,Feudenheim - Neckarplatt / Sportpark,49.485402,8.512012
NBV:Station:146888993,Oststadt - Unterer Luisenpark,49.48489,8.487298
NBV:Station:148606240,A1 - Landgericht/Universität,49.484796,8.462552
NBV:Station:195402059,Oststadt - Augusta Anlage,49.478289,8.489728
NBV:Station:260511069,Waldhof -  Gartenstadt / Freilichtbühne,49.534083,8.493429
NBV:Station:260511632,Waldhof -  Waldstraße / Hermann-Gutzmann-Schule,49.524164,8.50109
NBV:Station:260511828,Waldhof - Taunusplatz,49.524519,8.485152
NBV:Station:276163348,Tunnelstraße / Suezkanal,49.480781,8.469247
NBV:Station:364019650,Lindenhofplatz / HBF Süd,49.477839,8.467814
NBV:Station:378595589,Feudenheim - St. Peter & Paul Kirche,49.486102,8.530755
NBV:Station:378595742,Feudenheim - Endstelle / Odenwald Straße,49.483827,8.538324
NBV:Station:378596026,Seckenheim - Wasserturm / Kapellenplatz,49.463125,8.555903
NBV:Station:378596121,Seckenheim - Rathaus,49.467427,8.563108
NBV:Station:378596231,Seckenheim - S-Bahnhof  Seckenheim-Hochstätt,49.451792,8.537525
NBV:Station:381679124,Jungbusch - Werftstraße,49.495924,8.45803
NBV:Station:393329858,Franklin - Wasserwerkstraße,49.521503,8.525401
NBV:Station:450006188,Käfertal - Spinelli / Völklinger Achse,49.503207,8.518642
NBV:Station:498226541,Turley - Heinrich-Wittkamp-Straße,49.501747,8.493006
NBV:Station:575989610,THM Mannheim II,49.472353,8.478683
NBV:Station:344836,Berliner Platz,49.480502,8.4509
NBV:Station:344837,Rathaus,49.484688,8.443261
NBV:Station:344838,Pfalzbau,49.480293,8.446378
NBV:Station:344840,Rhein-Galerie,49.484154,8.448508
NBV:Station:660999,Hemshof - BASF Süd,49.49241,8.436685
NBV:Station:661021,LU Süd - Schützenplatz,49.473876,8.447843
NBV:Station:661024,LU Süd - Rheinallee,49.47534,8.455203
NBV:Station:2129321,Kreisverwaltung - Europaplatz,49.48472,8.4398
NBV:Station:3938985,Pfalzgrafenplatz,49.475546,8.450814
NBV:Station:7596144,LU Süd - Bayernplatz,49.472279,8.445901
NBV:Station:10409761,Sebastian-Bach-Straße,49.473436,8.44148
NBV:Station:11272269,Schwanthalerplatz,49.469525,8.455849
NBV:Station:11272311,Amtsgericht,49.471641,8.45175
NBV:Station:11272337,Wredestraße,49.477626,8.444147
NBV:Station:29456334,LU-Süd - Halbergstraße,49.477564,8.455095
NBV:Station:329695899,LU-Mitte - Benckiser Straße,49.482307,8.441749
NBV:Station:329696044,LU-Süd - Dürerplatz,49.468574,8.447612
NBV:Station:329696289,LU-Hemshof Hartmannstraße / Rohrlachstraße,49.489622,8.435901
